# Écrans & Musique — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.

F | Quel détective habite au 221B Baker Street ? | Sherlock Holmes | Hercule Poirot | Arsène Lupin | Philip Marlowe
M | Quel réalisateur japonais a signé Rashomon ? | Akira Kurosawa | Yasujiro Ozu | Kenji Mizoguchi | Nagisa Oshima
M | Quel réalisateur a signé Le Bon, la Brute et le Truand ? | Sergio Leone | Sergio Corbucci | Sam Peckinpah | John Ford
M | Quel réalisateur a signé Vertigo ? | Alfred Hitchcock | Orson Welles | Billy Wilder | Otto Preminger
M | Quel réalisateur a signé Les Oiseaux ? | Alfred Hitchcock | Roman Polanski | Brian De Palma | John Carpenter
M | Quel acteur incarne Rick dans Casablanca ? | Humphrey Bogart | Cary Grant | James Stewart | Clark Gable
M | Quel réalisateur a signé Autant en emporte le vent ? | Victor Fleming | Cecil B. DeMille | John Ford | Michael Curtiz
M | Quel acteur incarne Hannibal Lecter dans Le Silence des agneaux ? | Anthony Hopkins | Al Pacino | Jeremy Irons | Gary Oldman
M | Quel réalisateur a signé Alien et Blade Runner ? | Ridley Scott | James Cameron | John Carpenter | David Cronenberg
M | Quel réalisateur a signé Fight Club et Seven ? | David Fincher | Darren Aronofsky | Christopher Nolan | Paul Thomas Anderson
M | Quel réalisateur a signé Les Affranchis et Taxi Driver ? | Martin Scorsese | Francis Ford Coppola | Brian De Palma | Sidney Lumet
M | Quel réalisateur a signé Retour vers le futur ? | Robert Zemeckis | Steven Spielberg | Joe Dante | Ivan Reitman
M | Quel réalisateur tchèque a signé Amadeus ? | Milos Forman | Jiri Menzel | Roman Polanski | Andrzej Wajda
M | Quel film de Chaplin met en scène un vagabond et un enfant abandonné ? | Le Kid | Les Lumières de la ville | Le Cirque | La Ruée vers l'or
M | Quel film de Chaplin met en scène un barbier juif et un tyran sosies ? | Le Dictateur | Les Temps modernes | Le Kid | Monsieur Verdoux
M | Quel acteur burlesque muet est resté impassible en toutes circonstances ? | Buster Keaton | Charlie Chaplin | Harold Lloyd | Stan Laurel
M | Quel réalisateur allemand a signé Nosferatu en 1922 ? | Friedrich Wilhelm Murnau | Fritz Lang | Robert Wiene | Georg Pabst
M | Quel réalisateur italien a signé Le Voleur de bicyclette ? | Vittorio De Sica | Roberto Rossellini | Luchino Visconti | Michelangelo Antonioni
M | Quel réalisateur italien a signé Huit et demi ? | Federico Fellini | Michelangelo Antonioni | Pier Paolo Pasolini | Bernardo Bertolucci
M | Quel réalisateur espagnol a signé Un chien andalou avec Dalí ? | Luis Buñuel | Carlos Saura | Victor Erice | Pedro Almodóvar
M | Quel réalisateur sud-coréen a signé Old Boy ? | Park Chan-wook | Bong Joon-ho | Kim Ki-duk | Lee Chang-dong
M | Quel réalisateur hongkongais a signé In the Mood for Love ? | Wong Kar-wai | John Woo | Ang Lee | Tsui Hark
M | Quel réalisateur taïwanais a signé Tigre et Dragon ? | Ang Lee | Hou Hsiao-hsien | Edward Yang | Zhang Yimou
M | Quel a été le premier long métrage entièrement en images de synthèse ? | Toy Story | Shrek | Antz | Le Roi Lion
M | Quel studio britannique anime Wallace et Gromit ? | Aardman | Pixar | Laika | Ghibli
M | Quel acteur a incarné le Joker dans The Dark Knight ? | Heath Ledger | Jack Nicholson | Joaquin Phoenix | Jared Leto
M | Quelle actrice a incarné Hermione Granger au cinéma ? | Emma Watson | Emma Stone | Keira Knightley | Bonnie Wright
M | Quel acteur français a incarné Astérix dans les films en prises de vues réelles ? | Christian Clavier | Gérard Depardieu | Édouard Baer | Clovis Cornillac
M | Quel film de Jean-Pierre Jeunet met en scène un homme dans les tranchées cherchant sa fiancée ? | Un long dimanche de fiançailles | Delicatessen | La Cité des enfants perdus | Micmacs
M | Quel réalisateur a signé Le Cinquième Élément ? | Luc Besson | Jean-Pierre Jeunet | Christophe Gans | Pitof
M | Quel film de Jacques Demy est entièrement chanté, sans une réplique parlée ? | Les Parapluies de Cherbourg | Les Demoiselles de Rochefort | Peau d'âne | Lola
D | Quel réalisateur a signé L'Année dernière à Marienbad ? | Alain Resnais | Jacques Rivette | Chris Marker | Alain Robbe-Grillet
D | Quel réalisateur a signé Les Enfants du paradis avec Prévert au scénario ? | Marcel Carné | Jean Renoir | Julien Duvivier | Jacques Becker
D | Quel poète a écrit les dialogues de Quai des brumes et du Jour se lève ? | Jacques Prévert | Michel Audiard | Henri Jeanson | Charles Spaak
D | Quel dialoguiste français est célèbre pour ses répliques de truands ? | Michel Audiard | Jacques Prévert | Henri Jeanson | Pascal Jardin
D | Quel réalisateur a signé Le Corbeau sous l'Occupation ? | Henri-Georges Clouzot | Marcel Carné | Jean Grémillon | Christian-Jaque
D | Quel réalisateur a signé Ma nuit chez Maud ? | Éric Rohmer | Jacques Rivette | Claude Chabrol | Jean Eustache
D | Quel réalisateur a signé Le Boucher et Les Biches ? | Claude Chabrol | Éric Rohmer | Claude Sautet | Louis Malle
D | Quel réalisateur a signé César et Rosalie ? | Claude Sautet | Claude Lelouch | Claude Berri | Yves Robert
D | Quel réalisateur a signé Jean de Florette et Manon des sources ? | Claude Berri | Yves Robert | Claude Sautet | Bertrand Tavernier
D | Quel réalisateur a signé Un prophète et De rouille et d'os ? | Jacques Audiard | Cédric Kahn | Xavier Beauvois | Robert Guédiguian
D | Quel réalisateur a signé Le Cabinet du docteur Caligari ? | Robert Wiene | Fritz Lang | Friedrich Murnau | Paul Wegener
D | Quel réalisateur a signé Rome, ville ouverte ? | Roberto Rossellini | Vittorio De Sica | Luchino Visconti | Giuseppe De Santis
D | Quel réalisateur italien a signé L'Avventura ? | Michelangelo Antonioni | Federico Fellini | Marco Bellocchio | Ermanno Olmi
D | Quel réalisateur italien a signé Le Dernier Tango à Paris ? | Bernardo Bertolucci | Pier Paolo Pasolini | Marco Ferreri | Ettore Scola
D | Quel réalisateur a signé Le Charme discret de la bourgeoisie ? | Luis Buñuel | Carlos Saura | Luis García Berlanga | Marco Ferreri
D | Quel réalisateur japonais a signé Voyage à Tokyo ? | Yasujiro Ozu | Akira Kurosawa | Kenji Mizoguchi | Mikio Naruse
D | Quel réalisateur japonais a signé Ran, adapté du Roi Lear ? | Akira Kurosawa | Nagisa Oshima | Shohei Imamura | Masaki Kobayashi
D | Quel réalisateur indien a signé la trilogie d'Apu ? | Satyajit Ray | Mrinal Sen | Ritwik Ghatak | Guru Dutt
D | Quel réalisateur chinois a signé Épouses et concubines ? | Zhang Yimou | Chen Kaige | Jia Zhangke | Wong Kar-wai
D | Quel réalisateur sénégalais est considéré comme le père du cinéma africain ? | Ousmane Sembène | Souleymane Cissé | Idrissa Ouédraogo | Djibril Diop Mambéty
D | Quel réalisateur brésilien a signé La Cité de Dieu ? | Fernando Meirelles | Walter Salles | Glauber Rocha | Kleber Mendonça Filho
D | Quel réalisateur argentin a signé Dans ses yeux ? | Juan José Campanella | Lucrecia Martel | Pablo Trapero | Damián Szifron
D | Quels frères belges ont remporté deux Palmes d'or ? | Les frères Dardenne | Les frères Coen | Les frères Taviani | Les frères Wachowski
D | Quels frères américains ont signé Fargo ? | Les frères Coen | Les frères Farrelly | Les frères Safdie | Les frères Duplass
D | Quel réalisateur a signé Barry Lyndon ? | Stanley Kubrick | Roman Polanski | Nicolas Roeg | John Boorman
D | Quel réalisateur a signé Chinatown ? | Roman Polanski | Robert Altman | Sidney Lumet | Arthur Penn
D | Quel réalisateur a signé Nashville et Short Cuts ? | Robert Altman | Sidney Lumet | Hal Ashby | Alan Pakula
D | Quel réalisateur a signé Douze Hommes en colère ? | Sidney Lumet | Elia Kazan | Fred Zinnemann | Otto Preminger
D | Quel réalisateur a signé Sur les quais avec Marlon Brando ? | Elia Kazan | John Huston | Nicholas Ray | Vincente Minnelli
D | Quel réalisateur a signé Le Trésor de la Sierra Madre ? | John Huston | Howard Hawks | Raoul Walsh | William Wyler
D | Quel réalisateur a signé La Prisonnière du désert ? | John Ford | Howard Hawks | Anthony Mann | Budd Boetticher
D | Quel réalisateur a signé Certains l'aiment chaud ? | Billy Wilder | Howard Hawks | Preston Sturges | George Cukor
D | Quel réalisateur a signé Boulevard du crépuscule ? | Billy Wilder | Joseph Mankiewicz | Michael Curtiz | Nicholas Ray
D | Quel réalisateur a signé Ève avec Bette Davis ? | Joseph Mankiewicz | George Cukor | William Wyler | Vincente Minnelli
D | Quel réalisateur a signé Le Troisième Homme ? | Carol Reed | David Lean | Michael Powell | Alfred Hitchcock
D | Quel réalisateur britannique a signé Lawrence d'Arabie ? | David Lean | Carol Reed | Anthony Asquith | John Schlesinger
D | Quel réalisateur a signé Orange mécanique ? | Stanley Kubrick | Ken Russell | Nicolas Roeg | Lindsay Anderson
D | Quel réalisateur grec-français a signé Z ? | Costa-Gavras | Théo Angelopoulos | Michael Cacoyannis | Jules Dassin
D | Quel réalisateur polonais a signé le Décalogue ? | Krzysztof Kieslowski | Andrzej Wajda | Roman Polanski | Agnieszka Holland
D | Quel réalisateur a signé la trilogie Trois Couleurs ? | Krzysztof Kieslowski | Andrzej Zulawski | Jerzy Skolimowski | Béla Tarr
D | Quel réalisateur hongrois a signé Le Tango de Satan ? | Béla Tarr | Miklós Jancsó | István Szabó | László Nemes

# — Musiques, séries et écrans de jeu —

F | Quel chanteur jamaïcain est la figure du reggae ? | Bob Marley | Peter Tosh | Jimmy Cliff | Burning Spear
F | Quel plombier moustachu est la mascotte de Nintendo ? | Mario | Luigi | Sonic | Kirby
F | Quel hérisson bleu court très vite dans les jeux Sega ? | Sonic | Tails | Knuckles | Shadow
F | Quel jeu fait tomber des pièces géométriques à emboîter ? | Tetris | Puyo Puyo | Columns | Dr. Mario
F | Quel jeu de construction en cubes est le plus vendu de l'histoire ? | Minecraft | Roblox | Fortnite | Terraria
F | Quel héros en tunique verte parcourt le royaume d'Hyrule ? | Link | Zelda | Ganon | Mario
F | Quel jeu d'arcade met en scène un glouton jaune poursuivi par des fantômes ? | Pac-Man | Space Invaders | Donkey Kong | Frogger
F | Quelle princesse Mario sauve-t-il le plus souvent ? | La princesse Peach | La princesse Zelda | La princesse Daisy | La princesse Rosalina
F | Quel chanteur français a écrit Les Copains d'abord ? | Georges Brassens | Jacques Brel | Léo Ferré | Charles Trenet
F | Quel chanteur français a écrit La Mer ? | Charles Trenet | Charles Aznavour | Yves Montand | Tino Rossi
F | Quel groupe français masqué a enregistré Discovery ? | Daft Punk | Air | Justice | Phoenix
F | Quelle série met en scène des enfants et un monde parallèle dans les années 1980 ? | Stranger Things | Dark | The OA | Twin Peaks
F | Quelle série suit la vie de la famille royale britannique ? | The Crown | Downton Abbey | Victoria | The Windsors
M | De quel instrument John Coltrane jouait-il ? | Le saxophone | La trompette | Le piano | La contrebasse
M | Quel jazzman surnommé Duke dirigeait un grand orchestre ? | Duke Ellington | Count Basie | Benny Goodman | Glenn Miller
M | Quelle chanteuse de jazz est surnommée Lady Day ? | Billie Holiday | Ella Fitzgerald | Sarah Vaughan | Nina Simone
M | Quelle chanteuse de jazz est surnommée la First Lady of Song ? | Ella Fitzgerald | Billie Holiday | Dinah Washington | Carmen McRae
M | Quel saxophoniste surnommé Bird a inventé le bebop avec Gillespie ? | Charlie Parker | Lester Young | Coleman Hawkins | Sonny Rollins
M | Quel guitariste manouche jouait avec deux doigts brûlés ? | Django Reinhardt | Stéphane Grappelli | Wes Montgomery | Charlie Christian
M | Quel pianiste de jazz a composé Round Midnight ? | Thelonious Monk | Bill Evans | Herbie Hancock | Oscar Peterson
M | Quel chanteur était la voix de Led Zeppelin ? | Robert Plant | Roger Daltrey | Ian Gillan | Ozzy Osbourne
M | Quel groupe américain avait Jim Morrison pour chanteur ? | The Doors | The Velvet Underground | Jefferson Airplane | The Byrds
M | Quel chanteur américain a reçu le prix Nobel de littérature en 2016 ? | Bob Dylan | Leonard Cohen | Bruce Springsteen | Paul Simon
M | Quel groupe britannique a enregistré Who's Next ? | The Who | The Kinks | The Yardbirds | Small Faces
M | Quel groupe britannique a enregistré Smoke on the Water ? | Deep Purple | Led Zeppelin | Black Sabbath | Uriah Heep
M | Quel groupe britannique est considéré comme le fondateur du heavy metal ? | Black Sabbath | Judas Priest | Iron Maiden | Motörhead
M | Quel chanteur français a écrit Le Sud ? | Nino Ferrer | Michel Fugain | Julien Clerc | Alain Souchon
M | Quel chanteur toulousain a écrit Le Cinéma et Nougayork ? | Claude Nougaro | Charles Aznavour | Georges Brassens | Michel Jonasz
M | Quel chanteur français a écrit Mistral gagnant ? | Renaud | Alain Souchon | Francis Cabrel | Jean-Jacques Goldman
M | Quel chanteur français a écrit La Corrida ? | Francis Cabrel | Renaud | Jean-Jacques Goldman | Michel Berger
M | Quel auteur-compositeur a écrit Comme toi ? | Jean-Jacques Goldman | Michel Berger | Francis Cabrel | Daniel Balavoine
M | Quel chanteur a écrit Le Chanteur et Résiste pour France Gall ? | Michel Berger | Jean-Jacques Goldman | Serge Gainsbourg | Alain Souchon
M | Quel poète-chanteur a mis Aragon en musique et chanté Avec le temps ? | Léo Ferré | Georges Brassens | Jean Ferrat | Serge Reggiani
M | Quel groupe de rap marseillais a enregistré L'École du micro d'argent ? | IAM | NTM | Fonky Family | 113
M | Quel musicien français est un pionnier des concerts électroniques géants ? | Jean-Michel Jarre | Laurent Garnier | Éric Serra | Vangelis
M | Quelle chanteuse américaine a chanté Crazy in Love ? | Beyoncé | Rihanna | Alicia Keys | Mariah Carey
M | Quelle série policière américaine se déroule à Baltimore autour de la drogue ? | The Wire | The Shield | Homicide | True Detective
M | Quelle série suit des publicitaires new-yorkais des années 1960 ? | Mad Men | The Americans | Boardwalk Empire | Masters of Sex
M | Quelle série de David Lynch se déroule dans une ville forestière ? | Twin Peaks | Fargo | Northern Exposure | Wayward Pines
M | Quelle série met en scène des survivants d'un crash sur une île ? | Lost | The Leftovers | Manifest | The 100
M | Quelle série suit deux agents du FBI enquêtant sur le paranormal ? | X-Files | Fringe | Supernatural | Twin Peaks
M | Quel inspecteur en imperméable froissé fait mine de partir avant sa dernière question ? | Columbo | Maigret | Derrick | Kojak
M | Quelle série française parodie la légende du roi Arthur ? | Kaamelott | Hero Corp | Bref | Un gars, une fille
M | Quelle série française suit une agence d'acteurs parisienne ? | Dix pour cent | Engrenages | Le Bureau des légendes | Baron noir
M | Quelle série française suit des agents de la DGSE ? | Le Bureau des légendes | Engrenages | Braquo | Le Bureau
M | Quelle série met en scène des employés d'un bureau filmés comme un documentaire ? | The Office | Parks and Recreation | Modern Family | Arrested Development
M | Quelle série anglaise de science-fiction propose un épisode noir par technologie ? | Black Mirror | Years and Years | Utopia | Humans
M | Quelle série sud-coréenne met en scène des jeux d'enfants mortels ? | Squid Game | Alice in Borderland | Sweet Home | All of Us Are Dead
M | Quelle mini-série raconte l'accident nucléaire de 1986 ? | Chernobyl | The Hot Zone | Manhattan | Years and Years
M | Quelle console de Sony est sortie en 1994 ? | La PlayStation | La Saturn | La Dreamcast | La Nintendo 64
M | Quel studio français a créé Assassin's Creed ? | Ubisoft | Quantic Dream | Arkane | Dontnod
M | Quel héros français de jeu vidéo n'a ni bras ni jambes reliés au corps ? | Rayman | Rabbid | Crash | Spyro
M | Quel jeu japonais met en scène des créatures à capturer dans des balles ? | Pokémon | Digimon | Yo-kai Watch | Monster Hunter
M | Quel jeu de tir d'id Software est sorti en 1993 ? | Doom | Quake | Wolfenstein 3D | Duke Nukem
M | Quelle série de jeux japonais numérote ses épisodes depuis 1987 ? | Final Fantasy | Dragon Quest | Persona | Chrono Trigger
D | Quel trompettiste a enregistré Sketches of Spain ? | Miles Davis | Dizzy Gillespie | Clifford Brown | Chet Baker
D | Quel saxophoniste a enregistré A Love Supreme ? | John Coltrane | Sonny Rollins | Ornette Coleman | Wayne Shorter
D | Quel pianiste a enregistré Sunday at the Village Vanguard ? | Bill Evans | Keith Jarrett | Herbie Hancock | Chick Corea
D | Quel pianiste a improvisé seul le Köln Concert ? | Keith Jarrett | Bill Evans | Brad Mehldau | Michel Petrucciani
D | Quel violoniste a fondé le Quintette du Hot Club de France ? | Stéphane Grappelli | Django Reinhardt | Jean-Luc Ponty | Didier Lockwood
D | Quelle chanteuse américaine a chanté Strange Fruit ? | Billie Holiday | Nina Simone | Bessie Smith | Ma Rainey
D | Quelle chanteuse et pianiste a chanté Sinnerman ? | Nina Simone | Aretha Franklin | Roberta Flack | Etta James
D | Quel chanteur de la Motown a enregistré What's Going On ? | Marvin Gaye | Stevie Wonder | Smokey Robinson | Otis Redding
D | Quel label de Detroit a lancé la soul des années 1960 ? | Motown | Stax | Chess | Atlantic
D | Quel groupe de Manchester a enregistré Unknown Pleasures ? | Joy Division | The Smiths | New Order | Happy Mondays
D | Quel groupe britannique a enregistré The Queen Is Dead ? | The Smiths | The Cure | Echo and the Bunnymen | Depeche Mode
D | Quel groupe britannique a enregistré Disintegration ? | The Cure | The Smiths | Siouxsie and the Banshees | Bauhaus
D | Quel groupe irlando-britannique a enregistré Loveless en 1991 ? | My Bloody Valentine | Slowdive | Ride | Lush
D | Quel musicien allemand a fondé le groupe Kraftwerk ? | Ralf Hütter | Klaus Schulze | Manuel Göttsching | Edgar Froese
D | Quel compositeur grec a signé la musique des Chariots de feu ? | Vangelis | Yanni | Mikis Theodorakis | Manos Hadjidakis
D | Quel compositeur japonais a signé la musique de Furyo ? | Ryuichi Sakamoto | Joe Hisaishi | Toru Takemitsu | Kenji Kawai
D | Quel compositeur signe les musiques des films de Miyazaki ? | Joe Hisaishi | Ryuichi Sakamoto | Yoko Kanno | Kenji Kawai
D | Quel compositeur français a signé la musique du Grand Bleu ? | Éric Serra | Gabriel Yared | Alexandre Desplat | Philippe Sarde
D | Quel compositeur français a remporté deux Oscars de la meilleure musique ? | Alexandre Desplat | Gabriel Yared | Éric Serra | Philippe Rombi
D | Quel compositeur français a signé la musique d'Un homme et une femme ? | Francis Lai | Michel Legrand | Georges Delerue | Vladimir Cosma
D | Quel compositeur a signé les musiques de La Boum et de Rabbi Jacob ? | Vladimir Cosma | Michel Legrand | Francis Lai | Georges Delerue
D | Quel chanteur belge a écrit Le Plat Pays ? | Jacques Brel | Adamo | Arno | Stromae
D | Quel chanteur belge a chanté Formidable ? | Stromae | Arno | Adamo | Jacques Brel
D | Quel chanteur français a écrit Le Gorille et Chanson pour l'Auvergnat ? | Georges Brassens | Léo Ferré | Jacques Brel | Jean Ferrat
D | Quel chanteur a interprété La Montagne et Que serais-je sans toi ? | Jean Ferrat | Léo Ferré | Georges Brassens | Serge Reggiani
D | Quelle chanteuse française a interprété Göttingen ? | Barbara | Juliette Gréco | Françoise Hardy | Catherine Sauvage
D | Quelle chanteuse a interprété Tous les garçons et les filles ? | Françoise Hardy | France Gall | Sylvie Vartan | Sheila
D | Quel chanteur français a enregistré l'album Histoire de Melody Nelson ? | Serge Gainsbourg | Alain Bashung | Jacques Dutronc | Michel Polnareff
D | Quel chanteur français a enregistré Fantaisie militaire ? | Alain Bashung | Serge Gainsbourg | Étienne Daho | Dominique A
D | Quelle série américaine met en scène un vendeur de meubles et un avocat véreux à Albuquerque ? | Better Call Saul | Breaking Bad | Ozark | Fargo
D | Quelle série danoise suit une enquêtrice au pull norvégien ? | The Killing | Borgen | The Bridge | Forbrydelsen 2
D | Quelle série danoise suit une femme devenue Première ministre ? | Borgen | The Killing | Rita | Follow the Money
D | Quelle série allemande mêle voyages dans le temps et village forestier ? | Dark | 1899 | Babylon Berlin | Deutschland 83
D | Quelle série israélienne a inspiré Homeland ? | Hatufim | Fauda | Shtisel | BeTipul
D | Quelle série italienne suit une organisation criminelle napolitaine ? | Gomorra | Suburra | Romanzo criminale | Il Cacciatore
D | Quel jeu vidéo soviétique a été conçu par Alexeï Pajitnov ? | Tetris | Arkanoid | Pipe Mania | Sokoban
D | Quel jeu de 1998 sur Nintendo 64 a imposé la visée automatique ? | Ocarina of Time | GoldenEye 007 | Banjo-Kazooie | Perfect Dark
D | Quelle console portable de Nintendo est sortie en 1989 ? | La Game Boy | La Game Gear | La Lynx | La PC Engine GT
D | Quel studio japonais a créé la série Metal Gear ? | Konami | Capcom | Square | Namco
D | Quel studio a créé la série Grand Theft Auto ? | Rockstar | Ubisoft | Bethesda | Take-Two Interactive
D | Quel jeu polonais adapte les romans d'Andrzej Sapkowski ? | The Witcher | Dying Light | Frostpunk | Cyberpunk 2077
D | Quel jeu suédois a été racheté par Microsoft en 2014 ? | Minecraft | Battlefield | Candy Crush | Valheim
D | Quel jeu de 1997 a fait connaître le RPG japonais en Occident sur PlayStation ? | Final Fantasy VII | Xenogears | Suikoden | Vagrant Story
M | Quel réalisateur a signé Les Quatre Cents Coups en 1959 ? | François Truffaut | Jean-Luc Godard | Claude Chabrol | Louis Malle
