# Rock 70-80 — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Les groupes et les voix des années 1970 et 1980, ici et ailleurs : qui
# chantait, qui tenait quel instrument, d'où venait le groupe, et qui a signé
# quel titre. La chanson française de la même époque complète le tableau.
#
# Deux pièges de forme, propres à ce thème. L'énoncé ne porte qu'un seul point
# d'interrogation : on ne cite donc jamais un titre qui en contient un. Et le
# nom d'un groupe tient dans quarante-six signes — ce qui va de soi, sauf pour
# les formations à rallonge, qu'on désigne alors par leur nom d'usage.

! id      | rock-70-80
! nom     | Rock 70-80
! de      | de Rock 70-80
! detail  | Les groupes, les voix et les rôles, en France et ailleurs.
! icone   | guitars
! teinte  | 0.86 0.34 0.52
! rang   | 6
! produit | com.oulhen.riskelo.pack.rock7080


# --- Les groupes britanniques : les voix ---

F | Qui chantait dans Queen ? | Freddie Mercury | Brian May | Roger Taylor | John Deacon
M | Dans quel pays Gainsbourg a-t-il enregistré cet album reggae ? | La Jamaïque | Les États-Unis | Le Royaume-Uni | Le Brésil
F | Quel chanteur français a interprété « Il est cinq heures, Paris s'éveille » ? | Jacques Dutronc | Michel Polnareff | Alain Souchon | Julien Clerc
M | Quel duo d'auteurs unissait Alain Souchon et un compositeur ? | Laurent Voulzy | Michel Berger | Jean-Jacques Goldman | Didier Barbelivien
M | Quel titre de Laurent Voulzy de 1977 énumère des souvenirs musicaux ? | Rockollection | Le Cœur grenadine | Belle-Île-en-Mer | Bopper en larmes
M | Quel compositeur a écrit pour France Gall et signé « Starmania » avec Plamondon ? | Michel Berger | Julien Clerc | Michel Fugain | Alain Souchon
M | En quelle année l'opéra rock « Starmania » a-t-il été créé ? | 1979 | 1975 | 1983 | 1986
M | Qui a écrit les paroles de « Starmania » avec Michel Berger ? | Luc Plamondon | Étienne Roda-Gil | Pierre Delanoë | Jean-Loup Dabadie
M | Quelle chanteuse française était l'épouse de Michel Berger ? | France Gall | Véronique Sanson | Catherine Lara | Jeanne Mas
M | Quelle chanteuse française a chanté « Amoureuse » en 1972 ? | Véronique Sanson | France Gall | Michèle Torr | Nicoletta
M | Quel chanteur français a interprété « Une belle histoire » en 1972 ? | Michel Fugain | Julien Clerc | Gérard Lenorman | Yves Duteil
M | Quel groupe accompagnait Michel Fugain dans les années 1970 ? | Le Big Bazar | Le Grand Orchestre | La Bande à Basile | Les Charlots
M | Quel groupe français a chanté « J'ai encore rêvé d'elle » en 1976 ? | Il était une fois | Martin Circus | Les Poppys | Gold
F | Quel chanteur français est mort en 1978 dans sa salle de bains ? | Claude François | Joe Dassin | Michel Berger | Daniel Balavoine
M | Quel titre de Claude François est sorti l'année de sa mort ? | Alexandrie Alexandra | Cette année-là | Comme d'habitude | Le Téléphone pleure
M | Quelle chanson de Claude François est devenue « My Way » en anglais ? | Comme d'habitude | Alexandrie Alexandra | Belles belles belles | Le Lundi au soleil
M | Quel chanteur français d'origine américaine est mort en 1980 ? | Joe Dassin | Claude François | Mike Brant | Daniel Balavoine
M | Quelle chanteuse est morte en 1987 après une longue carrière ? | Dalida | Barbara | Nicoletta | Sheila
M | Quel titre de Dalida de 1974 raconte une histoire d'amour italienne ? | Gigi l'amoroso | Paroles paroles | Salma ya salama | Laissez-moi danser
F | Quel chanteur français a écrit « Les Lacs du Connemara » ? | Michel Sardou | Julien Clerc | Gérard Lenorman | Hervé Vilard
D | Qui a composé la musique des « Lacs du Connemara » ? | Jacques Revaux | Michel Berger | Didier Barbelivien | Pierre Delanoë
F | Quel chanteur français a écrit « Je l'aime à mourir » en 1979 ? | Francis Cabrel | Jean-Jacques Goldman | Yves Duteil | Alain Souchon
M | Quel chanteur français a écrit « Prendre un enfant » en 1977 ? | Yves Duteil | Francis Cabrel | Maxime Le Forestier | Gérard Lenorman
M | Quel chanteur français a écrit « San Francisco » en 1972 ? | Maxime Le Forestier | Yves Duteil | Michel Fugain | Alain Souchon


# --- La variété française des années 80 ---

F | Quel chanteur français a écrit « Quand la musique est bonne » ? | Jean-Jacques Goldman | Daniel Balavoine | Michel Berger | Étienne Daho
M | Avec qui Jean-Jacques Goldman a-t-il chanté « Je te donne » en 1985 ? | Michael Jones | Michel Berger | Carole Fredericks | Sirima
M | Quel trio Jean-Jacques Goldman a-t-il formé plus tard ? | Fredericks Goldman Jones | Les Enfoirés | Les Restos | Gold
F | Quel chanteur français est mort dans un accident d'hélicoptère en 1986 ? | Daniel Balavoine | Michel Berger | Claude François | Joe Dassin
M | Lors de quelle épreuve Daniel Balavoine est-il mort ? | Le Paris-Dakar | Le Tour de France | Les 24 Heures du Mans | Le Vendée Globe
M | Quel titre de Daniel Balavoine de 1978 parle de son métier ? | Le Chanteur | Mon fils ma bataille | L'Aziza | Vivre ou survivre
M | Quel titre de Daniel Balavoine évoque une bataille pour son enfant ? | Mon fils ma bataille | Le Chanteur | Sauver l'amour | Tous les cris les SOS
F | Quel chanteur français a écrit « Mistral gagnant » en 1985 ? | Renaud | Alain Souchon | Francis Cabrel | Yves Duteil
M | Quel chanteur français chantait avec un bandana et un blouson ? | Renaud | Bernard Lavilliers | Alain Bashung | Jacques Higelin
M | Quel titre de Renaud est une chanson d'amour pour sa fille ? | Mistral gagnant | Morgane de toi | Hexagone | Dès que le vent soufflera
M | Quel chanteur français a interprété « Gaby oh Gaby » en 1980 ? | Alain Bashung | Renaud | Étienne Daho | Jacques Higelin
M | Quel titre d'Alain Bashung de 1981 parle d'un vertige ? | Vertige de l'amour | Gaby oh Gaby | Osez Joséphine | Madame rêve
M | Quel chanteur français a lancé « Week-end à Rome » en 1984 ? | Étienne Daho | Alain Bashung | Marc Lavoine | Jean-Louis Murat
M | Quel chanteur français a chanté « Elle a les yeux revolver » ? | Marc Lavoine | Étienne Daho | Axel Bauer | Jean-Pierre Mader
M | Quel titre d'Axel Bauer de 1983 a marqué les débuts du clip en France ? | Cargo | Voyage voyage | Macumba | Boule de flipper
M | Quelle chanteuse a lancé « Voyage voyage » en 1986 ? | Desireless | Jeanne Mas | Elsa | Julie Pietri
M | Quelle coiffure Desireless avait-elle rendue célèbre ? | Une coupe très courte | Une longue tresse | Un carré blond | Des cheveux rouges
M | Quel chanteur français a chanté « Macumba » en 1984 ? | Jean-Pierre Mader | Marc Lavoine | Cookie Dingler | Axel Bauer
M | Quel titre de Cookie Dingler de 1984 parle d'une femme ? | Femme libérée | Macumba | Cargo | Boule de flipper
M | Quel groupe français a chanté « Un peu plus près des étoiles » ? | Gold | Images | Émile et Images | Partenaire Particulier
M | Quel groupe français a chanté « Les Démons de minuit » en 1986 ? | Images | Gold | Début de Soirée | Partenaire Particulier
M | Quel groupe français a chanté « Nuit de folie » en 1988 ? | Début de Soirée | Images | Gold | Les Avions
M | Quelle chanteuse a chanté « Toute première fois » en 1984 ? | Jeanne Mas | Elsa | Desireless | Julie Pietri
M | Quelle jeune chanteuse a chanté « T'en va pas » en 1986 ? | Elsa | Vanessa Paradis | Jeanne Mas | Lio
M | Quelle jeune chanteuse a chanté « Joe le taxi » en 1987 ? | Vanessa Paradis | Elsa | Lio | Corynne Charby
M | Quelle chanteuse belge a chanté « Banana Split » en 1979 ? | Lio | Plastic Bertrand | Viktor Lazlo | Sandra Kim
M | Quel chanteur belge a chanté « Ça plane pour moi » en 1977 ? | Plastic Bertrand | Lio | Jacques Brel | Adamo
D | Quelle chanteuse a chanté « Ève lève-toi » en 1986 ? | Julie Pietri | Jeanne Mas | Desireless | Caroline Loeb
D | Quelle chanteuse a chanté « C'est la ouate » en 1986 ? | Caroline Loeb | Julie Pietri | Corynne Charby | Elli Medeiros
D | Quelle chanteuse a chanté « Boule de flipper » en 1986 ? | Corynne Charby | Caroline Loeb | Jeanne Mas | Julie Pietri
D | Quelle chanteuse a chanté « Toi mon toit » en 1986 ? | Elli Medeiros | Lio | Corynne Charby | Jakie Quartz
D | De quel groupe punk Elli Medeiros venait-elle ? | Stinky Toys | Taxi Girl | Marquis de Sade | Bijou
D | Quelle chanteuse a chanté « Africa » en 1982, sans lien avec Toto ? | Rose Laurens | Julie Pietri | Jeanne Mas | Desireless
D | Quel chanteur a chanté « Pour le plaisir » en 1981 ? | Herbert Léonard | Michel Delpech | Gérard Lenorman | Frédéric François
D | Quelle chanteuse monégasque a chanté « Ouragan » en 1986 ? | Stéphanie de Monaco | Jeanne Mas | Elsa | Lio
D | Quel chanteur italo-français a chanté « Question de feeling » en duo ? | Richard Cocciante | Julien Clerc | Herbert Léonard | Frédéric François
D | Avec quelle chanteuse Richard Cocciante a-t-il chanté ce duo ? | Fabienne Thibeault | France Gall | Véronique Sanson | Catherine Lara
D | Quelle chanteuse violoniste a chanté « Nuit magique » en 1986 ? | Catherine Lara | Véronique Sanson | Jeanne Mas | Julie Pietri
M | Quel chanteur français a chanté « On the Road Again » en 1988 ? | Bernard Lavilliers | Renaud | Alain Bashung | Jacques Higelin
D | Quel chanteur français a chanté « Tombé du ciel » en 1988 ? | Jacques Higelin | Bernard Lavilliers | Alain Bashung | Michel Jonasz
M | Quel chanteur français a chanté « Les vacances au bord de la mer » ? | Michel Jonasz | Michel Delpech | Michel Fugain | Michel Berger
M | Quel chanteur français a chanté « Le Loir-et-Cher » en 1977 ? | Michel Delpech | Michel Jonasz | Yves Duteil | Gérard Lenorman


# --- Les rôles et les surnoms ---

M | Quel surnom porte le guitariste d'AC/DC en uniforme d'écolier ? | Angus | Malcolm | Bon | Phil
M | Quel surnom porte Bruce Dickinson, chanteur d'Iron Maiden ? | La sirène à air | Le rossignol | Le tonnerre | La foudre
M | Quelle mascotte accompagne Iron Maiden sur ses pochettes ? | Eddie | Vic | Snaggletooth | Hellboy
D | Quelle mascotte de Motörhead figure sur ses pochettes ? | Snaggletooth | Eddie | Vic Rattlehead | Le Diable
M | Qui menait Motörhead à la basse et au chant ? | Lemmy Kilmister | Phil Taylor | Fast Eddie Clarke | Brian Robertson
F | Quel groupe Ozzy Osbourne a-t-il quitté en 1979 ? | Black Sabbath | Deep Purple | Judas Priest | Uriah Heep
D | Quel guitariste a accompagné Ozzy Osbourne en solo avant sa mort en 1982 ? | Randy Rhoads | Zakk Wylde | Jake E. Lee | Tony Iommi
M | Quel groupe Ritchie Blackmore a-t-il fondé après Deep Purple ? | Rainbow | Whitesnake | Gillan | Black Sabbath
M | Quel groupe David Coverdale a-t-il fondé après Deep Purple ? | Whitesnake | Rainbow | Gillan | Foreigner
D | Quel chanteur de Deep Purple a précédé Ian Gillan ? | Rod Evans | David Coverdale | Glenn Hughes | Joe Lynn Turner
M | Quel groupe Peter Frampton a-t-il quitté pour une carrière solo ? | Humble Pie | Bad Company | Free | Foreigner
D | Quel chanteur de Free a ensuite mené Bad Company ? | Paul Rodgers | Paul Kossoff | Andy Fraser | Simon Kirke
M | Quel guitariste de Queen a été aussi astrophysicien ? | Brian May | Roger Taylor | John Deacon | Freddie Mercury
D | De quoi la guitare de Brian May est-elle en partie faite ? | Une cheminée ancienne | Un vieux banc | Une porte | Un piano
D | Quel objet Freddie Mercury tenait-il souvent sur scène ? | Un demi-pied de micro | Une cape | Une canne | Un tambourin
M | Quel chanteur des Rolling Stones joue aussi de l'harmonica ? | Mick Jagger | Keith Richards | Ronnie Wood | Charlie Watts
M | En quelle année Ronnie Wood a-t-il rejoint les Rolling Stones ? | 1975 | 1969 | 1980 | 1962
M | Quel guitariste fondateur des Rolling Stones est mort en 1969 ? | Brian Jones | Mick Taylor | Ronnie Wood | Ian Stewart
D | Quel guitariste a joué chez les Rolling Stones entre 1969 et 1974 ? | Mick Taylor | Ronnie Wood | Brian Jones | Bill Wyman
M | Quel groupe Sting a-t-il quitté pour jouer du jazz rock en solo ? | The Police | The Jam | Squeeze | The Clash
D | Quel batteur de jazz a accompagné Sting sur son premier album solo ? | Omar Hakim | Stewart Copeland | Manu Katché | Vinnie Colaiuta
D | Quel batteur français a joué avec Sting et Peter Gabriel ? | Manu Katché | Richard Kolinka | Farid Medjane | André Ceccarelli
M | Quel chanteur a mené Simple Minds ? | Jim Kerr | Charlie Burchill | Derek Forbes | Mel Gaynor
M | Quel duo formait Tears for Fears ? | Roland Orzabal et Curt Smith | Andy Bell et Vince Clarke | Neil Tennant et Chris Lowe | Marc Almond et Dave Ball
M | Quel duo formait les Pet Shop Boys ? | Neil Tennant et Chris Lowe | Roland Orzabal et Curt Smith | Andy Bell et Vince Clarke | Ali et Robin Campbell
D | Quel duo formait Erasure ? | Andy Bell et Vince Clarke | Neil Tennant et Chris Lowe | Marc Almond et Dave Ball | Alison Moyet et Vince Clarke
D | Quel musicien a quitté Depeche Mode puis fondé Yazoo et Erasure ? | Vince Clarke | Martin Gore | Alan Wilder | Andy Fletcher


# --- Compléments : les grandes voix et les instruments ---

F | Quel instrument est le plus associé au rock ? | La guitare électrique | Le violon | La harpe | L'accordéon
F | Comment appelle-t-on le musicien qui tient le rythme derrière la batterie ? | Le batteur | Le bassiste | Le guitariste | Le claviériste
F | Comment appelle-t-on le musicien qui tient les notes graves ? | Le bassiste | Le batteur | Le chanteur | Le violoniste
M | Quel duo d'instruments forme la « section rythmique » d'un groupe ? | La basse et la batterie | La guitare et le chant | Les claviers et le saxophone | Les cuivres
M | Comment appelle-t-on le passage instrumental mis en avant dans un morceau ? | Un solo | Un refrain | Un couplet | Un pont
M | Comment appelle-t-on la partie qui revient à l'identique dans une chanson ? | Le refrain | Le couplet | Le pont | L'intro
M | Comment appelle-t-on le passage qui relie deux parties d'une chanson ? | Le pont | Le refrain | Le couplet | La coda
D | Comment appelle-t-on l'effet qui sature le son d'une guitare électrique ? | La distorsion | La réverbération | Le chorus | Le délai
D | Comment appelle-t-on l'écho répété appliqué à une guitare ? | Le délai | La distorsion | Le chorus | La compression
D | Quel guitariste de U2 a fait du délai sa signature sonore ? | The Edge | Bono | Adam Clayton | Larry Mullen Jr
D | Quel instrument électronique a marqué la musique des années 1980 ? | Le synthétiseur | Le clavecin | La mandoline | Le banjo
D | Quelle boîte à rythmes japonaise a marqué les années 1980 ? | La Roland TR-808 | La Yamaha DX7 | Le Moog | Le Mellotron
M | Quel synthétiseur japonais de 1983 a inondé les tubes des années 1980 ? | Le Yamaha DX7 | Le Moog modulaire | Le Mellotron | Le Theremin
D | Quel instrument à bandes magnétiques a servi au rock progressif ? | Le Mellotron | Le vocodeur | La wah-wah | Le Theremin
D | Quel effet vocal robotique Kraftwerk a-t-il popularisé ? | Le vocodeur | La wah-wah | La fuzz | Le flanger


# --- Compléments : les soixante dernières ---

F | Quel groupe britannique s'est séparé en 1970 après une décennie ? | Les Beatles | Les Rolling Stones | The Who | Pink Floyd
F | Quel Beatle a chanté « Imagine » en 1971 ? | John Lennon | Paul McCartney | George Harrison | Ringo Starr
M | Quel groupe Paul McCartney a-t-il fondé après les Beatles ? | Wings | Traveling Wilburys | Bad Company | Free
D | Quel supergroupe George Harrison a-t-il rejoint en 1988 ? | Les Traveling Wilburys | Wings | Cream | Blind Faith
F | Quel guitariste britannique est surnommé « Slowhand » ? | Eric Clapton | Jeff Beck | Jimmy Page | Peter Green
M | Quel trio Eric Clapton formait-il avec Jack Bruce et Ginger Baker ? | Cream | Free | Blind Faith | Derek and the Dominos
D | Sous quel nom de groupe Clapton a-t-il enregistré « Layla » ? | Derek and the Dominos | Cream | Blind Faith | The Yardbirds
D | Quel groupe a lancé Clapton, Beck et Page à ses débuts ? | The Yardbirds | The Animals | The Kinks | The Hollies
M | Quel groupe britannique a chanté « You Really Got Me » puis « Lola » ? | The Kinks | The Who | The Animals | The Hollies
M | Quels frères menaient The Kinks ? | Ray et Dave Davies | Angus et Malcolm Young | Alex et Eddie Van Halen | Noel et Liam Gallagher
F | Quel chanteur de soul américain est surnommé le « Parrain de la soul » ? | James Brown | Otis Redding | Marvin Gaye | Sam Cooke
F | Quel chanteur aveugle a signé « Superstition » en 1972 ? | Stevie Wonder | Ray Charles | José Feliciano | Al Green
M | Quel chanteur a signé « What's Going On » en 1971 ? | Marvin Gaye | Stevie Wonder | Curtis Mayfield | Al Green
M | Quel label de Detroit a produit la soul des années 1960 et 1970 ? | Motown | Stax | Atlantic | Chess
F | Quelle chanteuse est surnommée la « reine de la soul » ? | Aretha Franklin | Diana Ross | Tina Turner | Gladys Knight
M | Quel groupe disco américain a chanté « Le Freak » en 1978 ? | Chic | Kool and the Gang | Earth Wind and Fire | The Trammps
D | Quel guitariste de Chic a produit Bowie et Madonna dans les années 1980 ? | Nile Rodgers | Bernard Edwards | Tony Thompson | Luther Vandross
M | Quel groupe américain a chanté « September » en 1978 ? | Earth Wind and Fire | Kool and the Gang | Chic | The Commodores
D | De quel groupe Lionel Richie venait-il ? | Les Commodores | Kool and the Gang | Earth Wind and Fire | The Temptations
M | Quel groupe allemand de disco a chanté « Rasputin » ? | Boney M | Silver Convention | Arabesque | Amanda Lear
D | Quel producteur allemand a créé Boney M ? | Frank Farian | Giorgio Moroder | Dieter Bohlen | Michael Cretu
M | Quel producteur italo-allemand a inventé le disco électronique ? | Giorgio Moroder | Frank Farian | Vangelis | Jean-Michel Jarre
M | Quelle chanteuse américaine Giorgio Moroder a-t-il produite ? | Donna Summer | Diana Ross | Gloria Gaynor | Grace Jones
F | Quelle chanteuse a chanté « I Will Survive » en 1978 ? | Gloria Gaynor | Donna Summer | Diana Ross | Chaka Khan
F | Quel groupe américain déguisé a chanté « Y.M.C.A. » ? | Village People | The Trammps | Chic | Kool and the Gang
M | Quel groupe suédois a gagné l'Eurovision en 1974 ? | ABBA | Europe | Roxette | Ace of Base
M | Avec quel titre ABBA a-t-il gagné l'Eurovision ? | Waterloo | Mamma Mia | S.O.S. | Ring Ring
M | Quelles deux chanteuses composaient ABBA ? | Agnetha et Anni-Frid | Agnetha et Benny | Anni-Frid et Björn | Frida et Marie
M | Quels deux musiciens composaient les chansons d'ABBA ? | Björn et Benny | Agnetha et Anni-Frid | Björn et Agnetha | Benny et Frida
M | Quel groupe britannique a chanté « Video Killed the Radio Star » ? | The Buggles | The Vapors | The Korgis | Ultravox
M | Quel groupe britannique a chanté « Vienna » en 1981 ? | Ultravox | Japan | Visage | Spandau Ballet
D | Quel chanteur menait Ultravox à partir de 1979 ? | Midge Ure | John Foxx | Steve Strange | Billy Currie
M | Quel groupe britannique a chanté « True » en 1983 ? | Spandau Ballet | Duran Duran | ABC | Culture Club
D | Quels frères menaient Spandau Ballet ? | Gary et Martin Kemp | Ray et Dave Davies | Ali et Robin Campbell | Charlie et Craig Reid
M | Quel groupe britannique de reggae a chanté « Red Red Wine » ? | UB40 | The Specials | Madness | The Beat
M | Quel groupe britannique a chanté « Our House » en 1982 ? | Madness | The Specials | UB40 | The Jam
D | Quel courant musical britannique mêlait ska et punk vers 1979 ? | Le 2 Tone | Le glam | Le shoegaze | La new wave seule
F | Quel groupe jamaïcain a fait connaître le reggae dans le monde ? | Bob Marley and the Wailers | Toots and the Maytals | Steel Pulse | Black Uhuru
M | Quel album de Bob Marley de 1977 porte le nom d'un exil ? | Exodus | Kaya | Uprising | Survival
M | En quelle année Bob Marley est-il mort ? | 1981 | 1977 | 1985 | 1973
F | Quel groupe irlandais a chanté « With or Without You » en 1987 ? | U2 | The Cranberries | Thin Lizzy | The Pogues
M | Quel album de U2 de 1987 porte un nom d'arbre ? | The Joshua Tree | War | Boy | Achtung Baby
D | Quel groupe irlandais mêlait punk et musique traditionnelle ? | The Pogues | Thin Lizzy | U2 | The Undertones
M | Quel groupe britannique a chanté « How Soon Is Now » ? | The Smiths | The Cure | Joy Division | Echo and the Bunnymen
M | Qui chantait dans The Smiths ? | Morrissey | Johnny Marr | Andy Rourke | Mike Joyce
D | Quel guitariste accompagnait Morrissey dans The Smiths ? | Johnny Marr | Andy Rourke | Mike Joyce | Craig Gannon
M | Quel groupe est devenu New Order après la mort de son chanteur ? | Joy Division | The Smiths | The Cure | Bauhaus
M | Comment s'appelait le chanteur de Joy Division mort en 1980 ? | Ian Curtis | Bernard Sumner | Peter Hook | Stephen Morris
M | Quel groupe britannique a chanté « Boys Don't Cry » ? | The Cure | The Smiths | Joy Division | Siouxsie and the Banshees
M | Quelle chanteuse menait Siouxsie and the Banshees ? | Siouxsie Sioux | Debbie Harry | Chrissie Hynde | Poly Styrene
D | Quelle chanteuse américaine menait The Pretenders en Angleterre ? | Chrissie Hynde | Debbie Harry | Patti Smith | Joan Jett
D | Quelle chanteuse américaine a chanté « Because the Night » ? | Patti Smith | Chrissie Hynde | Joan Jett | Pat Benatar
D | Qui a coécrit ce titre avec Patti Smith ? | Bruce Springsteen | Bob Dylan | Lou Reed | Tom Verlaine
M | Quel groupe new-yorkais Lou Reed a-t-il mené avant sa carrière solo ? | Le Velvet Underground | Television | Blondie | The Ramones
M | Quel titre de Lou Reed de 1972 parle d'un côté sauvage ? | Walk on the Wild Side | Perfect Day | Sweet Jane | Vicious
D | Quel artiste a produit ce disque de Lou Reed ? | David Bowie | Brian Eno | Andy Warhol | Iggy Pop
D | Quel chanteur américain Bowie a-t-il produit et surnommé l'iguane ? | Iggy Pop | Lou Reed | Alice Cooper | Marc Bolan
D | Quel groupe glam britannique Marc Bolan menait-il ? | T. Rex | Slade | Sweet | Mud
D | Quel groupe britannique a chanté « Ballroom Blitz » ? | Sweet | Slade | T. Rex | Mud
F | Quel groupe britannique a chanté « We Will Rock You » ? | Queen | The Who | Slade | Status Quo
